1.868973,1.122344,0.825788
1.869382,1.138462,0.812894
1.869783,1.144908,0.816117
1.870185,1.132015,0.825788
1.870586,1.120733,0.822564
1.870987,1.143297,0.838681
1.871388,1.138462,0.832234
1.871790,1.152967,0.837070
1.872192,1.165861,0.832234
1.872593,1.151355,0.848352
1.872994,1.164249,0.851575
1.873395,1.173919,0.835458
1.873796,1.183590,0.832234
1.874197,1.170696,0.848352
1.874598,1.177143,0.841905
1.875000,1.199707,0.843517
1.875402,1.204542,0.830623
1.875803,1.209377,0.835458
1.876204,1.219048,0.835458
1.876605,1.225495,0.849963
1.877007,1.217436,0.838681
1.877408,1.227106,0.835458
1.877810,1.236777,0.848352
1.878211,1.243223,0.833846
1.878612,1.260952,0.845128
1.879014,1.249670,0.849963
1.879415,1.259341,0.841905
1.879817,1.267399,0.856410
1.880218,1.283517,0.840293
1.880619,1.273846,0.845128
1.881021,1.278681,0.837070
1.881422,1.289963,0.859634
1.881823,1.281905,0.845128
1.882224,1.281905,0.858022
1.882625,1.318974,0.825788
1.883026,1.320586,0.848352
1.883428,1.310916,0.858022
1.883830,1.335092,0.854799
1.884232,1.341538,0.859634
1.884633,1.344762,0.848352
1.885034,1.343150,0.885421
1.885436,1.362491,0.890256
1.885837,1.365714,0.859634
1.886239,1.367326,0.856410
1.886640,1.385055,0.858022
1.887041,1.380220,0.861245
1.887442,1.389890,0.861245
1.887843,1.388278,0.856410
1.888245,1.397949,0.858022
1.888646,1.396337,0.841905
1.889047,1.389890,0.858022
1.889448,1.422125,0.869304
1.889850,1.420513,0.862857
1.890251,1.423736,0.870916
1.890652,1.430183,0.851575
1.891053,1.436630,0.859634
1.891455,1.449524,0.862857
1.891857,1.443077,0.867692
1.892260,1.447912,0.867692
1.892662,1.467253,0.833846
1.893063,1.475311,0.877363
1.893465,1.467253,0.864469
1.893867,1.480147,0.870916
1.894268,1.489817,0.864469
1.894669,1.473700,0.862857
1.895071,1.486593,0.874139
1.895472,1.494652,0.867692
1.895873,1.489817,0.869304
1.896274,1.517216,0.859634
1.896675,1.518828,0.875751
1.897076,1.515604,0.859634
1.897477,1.526886,0.875751
1.897878,1.533333,0.869304
1.898280,1.541392,0.853187
1.898682,1.539780,0.880586
1.899083,1.539780,0.870916
1.899485,1.551062,0.829011
1.899886,1.565568,0.688791
1.900288,1.583297,0.877363
1.900689,1.560733,0.870916
1.901090,1.567179,0.862857
1.901492,1.570403,0.869304
1.901894,1.586520,0.883810
1.902295,1.599414,0.891868
1.902697,1.589744,0.877363
1.903098,1.596190,0.883810
1.903500,1.618755,0.880586
1.903902,1.633260,0.888645
1.904303,1.626813,0.888645
1.904705,1.625201,0.890256
1.905107,1.625201,0.899927
1.905509,1.633260,0.890256
1.905911,1.633260,0.941832
1.906313,1.649377,0.885421
1.906715,1.668718,0.874139
1.907116,1.673553,0.875751
1.907517,1.667106,0.883810
1.907918,1.675165,0.877363
1.908320,1.667106,0.895092
1.908722,1.662271,0.877363
1.909124,1.704176,0.888645
1.909525,1.715458,0.877363
