1.868914,-0.597363,-0.547399
1.869323,-0.590916,-0.550623
1.869724,-0.574799,-0.557070
1.870125,-0.565128,-0.536117
1.870527,-0.576410,-0.528059
1.870928,-0.552234,-0.508718
1.871330,-0.552234,-0.532894
1.871731,-0.532894,-0.526447
1.872132,-0.539341,-0.495824
1.872534,-0.524835,-0.499048
1.872935,-0.532894,-0.481319
1.873338,-0.510330,-0.489377
1.873739,-0.508718,-0.476484
1.874140,-0.486154,-0.453919
1.874541,-0.489377,-0.473260
1.874943,-0.494212,-0.457143
1.875346,-0.455531,-0.445861
1.875748,-0.481319,-0.453919
1.876149,-0.460366,-0.429744
1.876550,-0.444249,-0.437802
1.876951,-0.432967,-0.428132
1.877352,-0.434579,-0.428132
1.877754,-0.434579,-0.403956
1.878156,-0.423297,-0.403956
1.878557,-0.424908,-0.395897
1.878958,-0.403956,-0.378169
1.879359,-0.402344,-0.378169
1.879761,-0.391062,-0.363663
1.880163,-0.374945,-0.352381
1.880564,-0.368498,-0.355604
1.880966,-0.373333,-0.337875
1.881367,-0.370110,-0.349158
1.881768,-0.349158,-0.323370
1.882169,-0.347546,-0.316923
1.882570,-0.337875,-0.292747
1.882971,-0.371722,-0.308864
1.883373,-0.334652,-0.286300
1.883775,-0.316923,-0.291136
1.884176,-0.318535,-0.275018
1.884577,-0.294359,-0.263736
1.884979,-0.289524,-0.241172
1.885381,-0.284689,-0.397509
1.885782,-0.278242,-0.247619
1.886184,-0.263736,-0.237949
1.886585,-0.266960,-0.225055
1.886987,-0.266960,-0.223443
1.887389,-0.241172,-0.218608
1.887790,-0.239560,-0.200879
1.888192,-0.225055,-0.202491
1.888593,-0.213773,-0.208938
1.888994,-0.200879,-0.199267
1.889396,-0.192821,-0.197656
1.889798,-0.204103,-0.187985
1.890199,-0.192821,-0.175092
1.890600,-0.179927,-0.157363
1.891002,-0.171868,-0.147692
1.891403,-0.170256,-0.144469
1.891805,-0.167033,-0.155751
1.892206,-0.154139,-0.070330
1.892607,-0.158974,-0.121905
1.893009,-0.129963,-0.117069
1.893411,-0.138022,-0.120293
1.893812,-0.115458,-0.099341
1.894214,-0.115458,-0.097729
1.894615,-0.107399,-0.092894
1.895016,-0.097729,-0.070330
1.895418,-0.099341,-0.062271
1.895819,-0.086447,-0.062271
1.896220,-0.059048,-0.065495
1.896621,-0.039707,-0.046154
1.897022,-0.068718,-0.033260
1.897424,-0.057436,-0.025202
1.897826,-0.063883,-0.017143
1.898227,-0.036484,-0.017143
1.898628,-0.034872,0.000586
1.899029,-0.025202,-0.012308
1.899431,-0.025202,0.011868
1.899832,-0.004249,0.013480
1.900234,-0.026813,0.013480
1.900636,0.011868,0.026374
1.901037,-0.015531,0.036044
1.901439,0.055385,0.044103
1.901840,0.027985,0.048938
1.902241,0.031209,0.055385
1.902644,0.021538,0.086007
1.903045,-0.010696,0.068278
1.903447,0.058608,0.069890
1.903849,0.061831,0.090842
1.904250,0.076337,0.110183
1.904651,0.082784,0.100513
1.905052,0.074725,0.137582
1.905454,0.081172,0.132747
1.905856,0.095678,0.152088
1.906259,0.110183,0.137582
1.906660,0.123077,0.140806
1.907061,0.119853,0.145641
1.907464,0.161758,0.121465
1.907865,0.131135,0.158535
1.908270,0.132747,0.187546
1.908671,0.119853,0.168205
1.909072,0.161758,0.210110
1.909473,0.171429,0.192381
1.909874,0.181099,0.193993
1.910276,0.169817,0.210110
1.910677,0.192381,0.214945
1.911079,0.195604,-0.059048
1.911481,0.205275,0.235898
1.911883,0.223004,0.240733
1.912284,0.216557,0.248791
1.912685,0.248791,0.250403
1.913086,0.242344,0.255238
1.913487,0.250403,0.264908
1.913888,0.243956,0.282637
1.914290,0.239121,0.271355
1.914692,0.277802,0.269744
1.915093,0.272967,0.297143
1.915494,0.295531,0.310037
1.915896,0.334213,0.306813
1.916299,0.292308,0.316483
1.916700,0.297143,0.332601
1.917101,0.326154,0.321319
1.917502,0.316483,0.337436
1.917903,0.329377,0.358388
1.918305,0.337436,0.363224
1.918707,0.343883,0.360000
1.919108,0.343883,0.374506
1.919509,0.360000,0.355165
1.919910,0.343883,0.390623
1.920312,0.363224,0.392234
1.920713,0.387399,0.403517
1.921115,0.376117,0.409963
1.921516,0.400293,0.406740
1.921917,0.414798,0.413187
1.922319,0.390623,0.432528
1.922720,0.442198,0.429304
